Instrument,Facility,Hemisphere,Status,Wavelength_Coverage_Regime_nm,Spectral_Resolution_Settings
SDSS_1+2_Spectrograph,APO,N,Completed,380-615; 580-920,1850-2200
SDSS_3+4_BOSS,APO,N,Completed,360-1040,1560-2270;1850-2650
SDSS_3+4_APOGEE,APO,N,Completed,1510-1700,"22,500"
SDSS_4_APOGEE,LCO,S,Completed,1510-1700,22500
LAMOST,Guoshoujing,N,Current,370-900,500;1000;1500
HERMES,AAT,S,Current,471.5-490.0;564.9-587.3;647.8-673.7;758.5-788.7,28000
SDSS_5_APOGEE+BOSS,APO,N,Current,360-1040;1510-1700,1560-2270;1850-2650;22500
SDSS_5_APOGEE+BOSS,LCO,S,Current,360-1040;1510-1700,1560-2270;1850-2650;22500
DESI,KPO,N,Current,360-555;555-656;656-980,2000-3200;3200-4100;4100-5000
WEAVE,OOCC,N,Build,366-606;579-959;404-465;473-545;595-685,5000;20000
MOONS,ESO-Paranal,S,Build,650-1800;760-890;930-1350;1520-1640,4100;4300;6600;9200;4300;18300
PFS,Subaru,N,Build,380-650;630-970;710-885;940-1260, 2300;3000;5000;4300
4MOST,ESO-Paranal,S,Build,370-950;392.6-435.5;516-573;610-679,4000-7700;18000-21000
MegaMapper,LCO,S,Design,360-555;555-656;656-980,2000-5000
FOBOS,Keck,N,Design,310-1000,3500
MSE-baseline,CFHT,N,Design,360–1000;1000-1300;1450-1800;360-900,5000-6000;30000
SpecTel/WST,ESO,S,Design,360-1000;965-1330,4000;20000-40000
LSSTspec,VRO,S,Conception,Unknown,Unknown
MOSAIC,ESO-ELT,S,Conception,450-700;770-1800;450-877;770-1800,4000-5000;18000
